date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:56	135223/135223	---M--	200	added ('OK')	image/jpeg	etag:%222301211-21037-575b5d7773f00%22	http://smartitsource.com/utrun/html/assets/images/normal/download-bg.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/download-bg.jpg	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:54:56	24200/24200	---M--	200	added ('OK')	image/jpeg	etag:%2223011f3-5e88-576019405b480%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/3.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/3.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:00	34582/34582	---M--	200	added ('OK')	image/jpeg	etag:%2223011f5-8716-57601947fc680%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/4.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/4.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:01	29010/29010	---M--	200	added ('OK')	image/jpeg	etag:%2223011e8-7152-5760195185d00%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/5.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/5.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:01	27456/27456	---M--	200	added ('OK')	image/jpeg	etag:%2223011e5-6b40-5760195cf7800%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/6.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/6.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:06	30577/30577	---M--	200	added ('OK')	image/jpeg	etag:%2223011df-7771-5760199077180%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/7.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/7.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:07	22723/22723	---M--	200	added ('OK')	image/jpeg	etag:%2223011e0-58c3-5760199a00800%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/8.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/8.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:08	27273/27273	---M--	200	added ('OK')	image/jpeg	etag:%2223011e3-6a89-576019a389e80%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/9.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/9.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:55:10	256937/256937	---M--	200	added ('OK')	image/jpeg	etag:%222301214-3eba9-576014a785c00%22	http://smartitsource.com/utrun/html/assets/images/normal/breadcrumb.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/breadcrumb.jpg	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:55:13	6211/6211	---M--	200	added ('OK')	image/jpeg	etag:%2223011dd-1843-5760295281f00%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/recent/01.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/recent/01.jpg	(from http://smartitsource.com/utrun/html/single-blog.html)
21:55:13	3911/3911	---M--	200	added ('OK')	image/jpeg	etag:%2223011dc-f47-576029583ac80%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/recent/02.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/recent/02.jpg	(from http://smartitsource.com/utrun/html/single-blog.html)
21:55:15	6192/6192	---M--	200	added ('OK')	image/jpeg	etag:%2223011de-1830-5760295df3a00%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/recent/03.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/recent/03.jpg	(from http://smartitsource.com/utrun/html/single-blog.html)
21:55:15	103762/103762	---M--	200	added ('OK')	image/jpeg	etag:%2223011ea-19552-576026ec57600%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/grid-blog.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/grid-blog.jpg	(from http://smartitsource.com/utrun/html/single-blog.html)
